iter	Passed	Remaining
0	226	225840
1	321	160260
2	421	140149
3	512	127629
4	594	118221
5	676	112032
6	764	108498
7	868	107687
8	962	105999
9	1050	103985
10	1142	102705
11	1221	100589112	1316	99935
13	1409	99300
14	1527	100312
15	1625	99944
16	1727	99884
17	1822	99426
18	118	1943	1019	2006	98336
20	2104	98090
21	2121	2241	922	2222	2341	923	2323	2404	924	2424	2483	925	2425	2569	926	2526	2657	927	2627	2734	928	2728	2820	929	2829	2898	930	2930	2978	931	2931	3058	932	3032	3127	933	3133	3218	934	3234	3294	935	3235	3382	90581
36	3468	90270
37	3577	90556
38	3667	90375
39	3742	89828
40	3825	89489
41	3923	89501
42	4001	89057
43	4075	88557
44	4143	845	4145	4232	846	4246	4314	87484
448	4381	8503648	4480	849	4449	4564	86719
50	4651	86551
51	4720	852	4652	4800	85772
53	4872	85355
54	4963	85285
55	5055	85223
56	5137	84992
57	5234	858	5258	5316	859	5259	5402	860	5360	5492	861	5461	5582	862	55663	5640	63	56664	5725	64	57665	5807	65	5865	5921	866	5966	6039	867	6067	6129	868	6168	6205	869	6269	6281	870	6270	6370	871	6371	6461	872	6472	6536	873	6473	6619	82829
74	6688	875	6675	6782	876	6776	6868	82335
77	6943	878	6978	7019	879	7079	7102	880	7080	7167	881	7181	7239	882	7282	7346	883	7383	7433	884	7484	7519	885	7485	7597	886	7586	7674	887	7687	7747	888	7788	7828	889	7889	7905	790	7990	7989	791	7991	8052	792	8092	8136	793	8193	8216	794	8256	78653
95	8336	78501
96	8408	78277
97	8503	78268
98	8567	77971
99	8656	77905
100	8731	77716
101	8809	77555
102	8898	77491
103	8967	77255
104	9034	77012
105	9103	76779
106	9188	76685
107	9266	76533
108	9348	76417
109	9428	76287
110	9496	76054
111	9578	75941
112	9655	75789
113	9733	75650
114	9816	75540
115	9894	75399
116	9976	75291
117	10047	75103
118	10129	74994
119	10210	74876
120	10279	74671
121	10363	74582
122	10447	74492
123	10525	74354
124	10597	74185
125	10668	74000
126	10745	73865
127	10832	73794
128	10914	73693
129	10992	73567
130	11058	73355
131	11130	73189
132	11193	72969
133	11264	72800
134	11380	72919
135	11449	72737
136	11529	72625
137	11607	72505
138	11688	72399
139	11749	72173
140	1140	11907	7141	1141	11984	7142	1142	12069	7143	1143	12155	7144	1144	12237	7145	1145	12312	7146	1146	12404	7147	1147	12486	7148	1148	12565	7149	1149	12653	7150	1150	12737	7151	1151	12822	7152	1152	12902	7153	1153	12983	7154	1154	13082	71319
155	13170	7156	1156	13256	71181
157	13339	71088
158	13416	70962
159	13490	70825
160	13576	70747
161	13656	70642
162	13752	70617
163	13828	70492
164	13901	70347
165	13989	70285
166	14069	70178
167	14160	70126
168	14247	70057
169	14340	70017
170	14429	69954
171	14512	69860
172	14606	69826
173	14695	69762
174	14771	69638
175	14846	69509
176	14927	69407
177	15011	69325
178	15101	69266
179	15188	69190
180	15259	69047
181	15341	68952
182	15423	68857
183	15507	68772
184	15591	68686
185	15678	68615
186	15751	68482
187	15827	68362
188	15921	68320
189	16008	68246
190	16082	68119
191	16159	68005
192	16246	67931
193	16327	67833
194	16383	67634
195	16466	67545
196	16548	67455
197	16620	67322
198	16707	67248
199	16783	67134
200	16867	67050
201	16957	66988
202	17044	66918
203	17133	66854
204	17223	66794
205	17293	66654
206	17385	66601
207	17461	66489
208	17540	66384
209	17617	66275
210	17707	66215
211	17782	66098
212	17863	66002
213	17939	65888
214	18011	65763
215	18086	65645
216	18166	65551
217	18244	65444
218	18321	65339
219	18396	65223
220	18469	65101
221	18543	64985
222	18626	64902
223	18705	64800
224	18780	64687
225	18853	64569
226	18934	64476
227	19020	64401
228	19100	64308
229	19193	64257
230	19268	64143
231	19341	64026
232	19418	63922
233	19490	63803
234	19563	63684
235	19664	63658
236	19746	63573
237	19817	63449
238	19902	63370
239	19985	63286
240	20067	63199
241	20146	63104
242	20220	62990
243	20305	62912
244	20382	62811
245	20461	62716
246	20526	62575
247	20615	62510
248	20686	62392
249	20772	62318
250	20843	62197
251	20917	62088
252	21018	62057
253	21105	61987
254	21185	61895
255	21253	61767
256	21333	61675
257	21409	61573
258	21483	61464
259	21559	61360
260	21635	61258
261	21717	61173
262	21800	61090
263	21880	60999
264	21961	60911
265	22046	60834
266	22132	60760
267	22209	60662
268	22298	60596
269	22396	60552
270	22484	60484
271	22566	60398
272	22653	60326
273	22726	60218
274	22790	60083
275	22857	59960
276	22930	59851
277	23013	59770
278	23088	59667
279	23165	59568
280	23234	59451
281	23316	59365
282	23393	59268
283	23487	59216
284	23555	59095
285	23634	59002
286	23701	58882
287	23800	58840
288	23881	58753
289	23963	58669
290	24041	58574
291	24123	58490
292	24204	58404
293	24273	58289
294	24350	58193
295	24440	58127
296	24498	57988
297	24563	57863
298	24627	57737
299	24697	57627
300	24760	57500
301	24832	57394
302	24912	57307
303	24990	57215
304	25060	57105
305	25143	57024
306	25225	56942
307	25319	56886
308	25410	56823
309	25474	56701
310	25553	56611
311	25636	56531
312	25711	56433
313	25792	56348
314	25868	56253
315	25948	56167
316	26027	56078
317	26101	55978
318	26175	55879
319	26242	55765
320	26326	55687
321	26397	55582
322	26477	55495
323	26549	55394
324	26626	55302
325	26715	55233
326	26788	55133
327	26856	55022
328	26932	54929
329	27010	54838
330	27090	54753
331	27162	54652
332	27241	54565
333	27318	54473
334	27406	54402
335	27469	54284
336	27547	54196
337	27631	54118
338	27729	54067
339	27800	53965
340	27887	53894
341	27987	53847
342	28077	53781
343	28160	53702
344	28245	53625
345	28322	53534
346	28399	53443
347	28477	53353
348	28565	53284
349	28648	53204
350	28723	53110
351	28803	53024
352	28880	52934
353	28950	52830
354	29023	52733
355	29109	52658
356	29183	52563
